Table A-10. J30 Dataset: Best Known Solution (BKS) and Lower Bounds (LB) ,,,
Instance,BKS,LB,
,Published,Publishedd,Found by GBD
j3010_3,24,24,24
j3012_7,27,27,27
j3012_9,22,22,22
j3013_10,42,29,29
j3015_5,24,23,23
j3016_1,27,27,27
j3016_2,41,41,41
j3016_5,30,30,30
j3016_9,24,24,24
j3018_6,25,25,25
j3019_1,35,35,35
j3020_4,35,35,35
j3020_7,30,30,30
j3021_4,37,30,30
j3021_5,37,23,23
j3022_5,30,26,26
j3022_9,34,34,34
j3023_10,21,21,21
j3025_1,34,32,32
j3025_8,33,33,33
j3026_2,22,22,22
j3026_5,22,22,22
j3027_3,28,28,28
j3027_10,29,29,29
j3028_1,37,37,37
j3028_5,23,23,23
j3031_1,25,25,25
j3031_2,43,43,43
j3032_8,29,29,29
j3039_2,42,28,41
j3039_4,49,43,49
j3040_9,43,34,43
j3041_7,39,30,35
j3043_7,33,29,33
j3044_3,30,30,34
j3045_6,46,28,31
j3047_4,38,36,37
j3047_5,26,21,26
j3048_1,28,27,28
j3049_4,37,37,37
j3050_8,27,26,26
j3051_3,27,27,27
j3051_4,51,51,51
j3055_7,44,44,44
j3056_9,33,33,33
j3057_7,27,27,27
j3057_9,26,25,25
j3060_1,22,22,22
j3063_2,30,30,30
j3064_10,36,36,36
d: Critical path method (CPM) lower bound,,,
