"Table. A-3. Results. J50 Dataset: Benchmark 1, Benchmark 2. Time limit: 6000 sec.",,,,,,
Instance,Benchmark  1,,,Benchmark  2,,
,OFa,Timeb,Time_limg,OF,Time,Time_limg
J501_2,25,64.422,,25,75.265,
J503_3,18,5.922,,18,21.688,
J507_2,43,6000,Yes,46,6000,Yes
J5010_3,27,6000,Yes,28,6000,Yes
J5016_1,17,6.641,,17,13.344,
J5017_3,16,3.566,,16,6.125,
J5022_5,23,6000,Yes,23,6000,Yes
J5025_4,29,11.719,,29,38.531,
J5026_3,22,8.438,,22,19.547,
J5027_3,17,8,,17,11.094,
J5027_4,17,3.172,,17,6.484,
J5028_5,19,4.234,,19,11.39,
J5033_4,20,5.375,,20,8.156,
J5036_1,20,4.297,,20,8.641,
J5039_3,27,17.625,,27,42,
J5042_5,30,11.343,,30,29.078,
J5045_4,37,6000,Yes,37,6000,Yes
J5046_5,41,6000,Yes,41,6000,Yes
J5048_2,41,6000,Yes,53,6000,Yes
J5049_2,45,31.821,,45,86.844,
J5049_3,38,58.547,,38,72.531,
J5054_1,25,9.063,,25,10.531,
J5058_4,29,6000,Yes,30,6000,Yes
J5061_1,37,112.641,,37,76.875,
J5065_2,22,8.563,,22,3.594,
J5068_1,28,165.156,,28,85.594,
J5068_4,32,32.5,,32,136.078,
J5069_3,21,13.172,,21,17.703,
J5070_1,24,13.391,,24,36.219,
J5070_4,27,12.5,,27,11.109,
J5071_1,27,7,,27,5.328,
J5073_3,68,338.188,,68,491.828,
J5073_5,78,362.188,,78,950.906,
J5079_5,91,6000,Yes,89,6000,Yes
J5080_3,93,6000,Yes,109,6000,Yes
J5081_5,57,6000,Yes,62,6000,Yes
J5082_3,59,6000,Yes,65,6000,Yes
J5083_4,58,6000,Yes,60,6000,Yes
J5084_4,61,6000,Yes,65,6000,Yes
J5088_2,45,109.703,,45,247.562,
J5089_3,41,9.484,,41,12.156,
J5091_3,53,326.875,,53,422.781,
J5092_2,62,6000,Yes,61,6000,Yes
J5092_4,61,6000,Yes,62,6000,Yes
J5095_3,43,185.359,,43,137.328,
J5096_1,39,23.25,,39,109.203,
J5098_5,49,69.719,,49,267.484,
J50104_2,55,86.844,,55,138.406,
J50104_4,53,592.844,,53,4801.91,
J50106_3,46,176.141,,46,235.628,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,
