"Table. A-6. Results. J100 Dataset: Strategy 1, Strategy 2, Strategy 3. Time limit: 6000 sec.",,,,,,,,
Instance,Strategy 1,,Strategy 2,,,Strategy 3,,
,OFa,Timeb,OF,Time,Time_limg,OF,Time,Time_limg
J1002_3,38,25.064,34,1932.344,,33,89.188,
J1004_5,34,6.867,29,44.117,,28,23.281,
J1005_5,27,7.908,23,39.908,,23,21.391,
J1007_2,61,9.964,56,6009.964,Yes,56,6000,Yes
J1008_4,69,5.878,64,6005.878,Yes,63,6000,Yes
J1009_5,56,7.941,48,6007.941,Yes,48,6000,Yes
J10010_4,45,34.573,39,610.682,,41,6000,Yes
J10012_4,61,10.005,55,6010.005,Yes,55,6000,Yes
J10013_5,31,9.111,31,11.611,,31,7.25,
J10017_3,22,6.334,22,8.756,,22,5.969,
J10020_1,27,15.175,25,25.441,,24,12.078,
J10020_2,31,29.495,27,53.182,,28,49.734,
J10022_1,36,32.767,32,6032.767,Yes,31,125.31,
J10028_3,22,25.503,22,27.675,,22,22.531,
J10030_1,24,8.028,24,10.325,,24,8.438,
J10032_3,30,37.449,27,41.199,,26,49.906,
J10033_5,25,4.196,25,8.618,,25,7.703,
J10035_3,25,10.172,21,17.734,,21,16.484,
J10036_1,29,8.681,26,13.509,,25,13.922,
J10036_4,28,8.229,28,11.12,,28,9.484,
J10036_5,23,11.652,21,16.168,,21,15.734,
J10037_3,55,5.528,53,19.638,,51,30.25,
J10038_1,57,112.007,48,399.476,,57,2233.67,
J10043_5,101,11.768,97,6011.768,Yes,99,6000,Yes
J10045_3,71,28.848,66,6028.848,Yes,67,6000,Yes
J10047_5,59,8.625,54,6008.625,Yes,54,6000,Yes
J10049_3,49,7.246,49,11.324,,49,9.578,
J10051_1,37,9.975,37,13.491,,32,13.156,
J10052_5,33,44.715,32,53.731,,32,67.875,
J10055_1,55,36.412,51,776.222,,54,6000,Yes
J10056_3,45,103.981,41,149.794,,41,342.672,
J10056_5,47,24.338,43,6024.338,Yes,43,281.875,
J10060_4,45,8.483,36,98.905,,36,259.484,
J10061_1,45,11.537,45,14.365,,45,11.313,
J10062_1,35,51.493,35,54.181,,35,52.344,
J10066_2,27,8.905,27,11.233,,27,9.313,
J10068_2,40,24.597,40,29.675,,40,37.008,
J10072_4,36,7.681,33,20.415,,32,14.328,
J10076_4,77,32.458,72,77.583,,72,6000,Yes
J10078_1,78,3.06,64,781.06,,64,813.297,
J10085_3,78,12.508,76,24.446,,76,25.781,
J10088_1,57,47.186,57,50.389,,56,51.828,
J10090_2,60,4.456,60,16.831,,57,13.625,
J10095_3,72,5.092,65,270.295,,65,47.219,
J10097_4,75,39.313,75,46.157,,75,52.875,
J10099_2,50,14.065,50,20.956,,50,26.953,
J100101_2,58,4.652,58,10.011,,58,9.469,
J100102_2,48,4.427,48,7.318,,48,5.281,
J100104_4,66,2799.669,65,2810.669,,64,2745.64,
J100106_2,57,37.747,57,47.231,,56,28.625,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,
