"Table. A-7. Results. J30 Dataset: Benchmark 1, Strategy 1, Strategy 3. Time limit: 600 sec.",,,,,,,,
Instance,Benchmark  1,,,Strategy 1,,Strategy 3,,
,OFa,Timeb,Time_limg,OFa,Timeb,OF,Time,Time_limg
j3010_3,24,6.047,,26,0.332,25,0.922,
j3012_7,27,6.469,,27,0.226,27,0.313,
j3012_9,22,5.484,,22,0.477,22,0.422,
j3013_10,43,600,Yes,56,0.461,49,327.562,
j3015_5,24,18.547,,33,0.428,27,4.047,
j3016_1,27,9.297,,27,0.331,27,0.625,
j3016_2,41,7.891,,41,0.476,41,0.703,
j3016_5,30,7.922,,32,0.412,31,0.891,
j3016_9,24,7.797,,24,0.889,24,0.625,
j3018_6,25,2.125,,29,0.508,25,0.328,
j3019_1,35,5.406,,37,0.462,35,0.281,
j3020_4,35,2.125,,35,0.35,35,0.484,
j3020_7,30,2.562,,30,0.608,30,0.375,
j3021_4,37,597.44,,47,0.603,43,425.938,
j3021_5,38,600,Yes,52,0.806,46,600,Yes
j3022_5,30,153.094,,41,0.571,34,27.328,
j3022_9,34,11.484,,38,0.601,34,0.828,
j3023_10,21,7.703,,21,0.888,21,0.781,
j3025_1,34,5.547,,42,0.272,38,4.75,
j3025_8,33,5.875,,44,0.194,39,6.703,
j3026_2,22,2.328,,29,0.272,27,0.734,
j3026_5,22,4,,22,0.272,22,0.531,
j3027_3,28,1.75,,28,0.239,28,0.297,
j3027_10,29,1.625,,29,0.348,29,0.344,
j3028_1,37,3.688,,37,0.395,37,0.297,
j3028_5,23,3.609,,23,0.099,23,0.297,
j3031_1,25,4.125,,36,0.334,29,1.141,
j3031_2,43,5.828,,43,0.362,43,0.688,
j3032_8,29,2.578,,29,0.318,29,0.828,
j3039_2,42,81.656,,50,0.824,43,3.844,
j3039_4,49,58.469,,58,0.411,51,3.781,
j3040_9,43,14.688,,43,0.476,43,1.141,
j3041_7,39,203.312,,53,0.532,45,4.001,
j3043_7,33,4.078,,33,0.558,33,0.594,
j3044_3,34,11,,34,0.51,34,0.719,
j3045_6,47,600,Yes,58,0.807,52,600,Yes
j3047_4,38,28.9,,45,1.046,42,2.437,
j3047_5,26,21.781,,32,0.668,28,1.828,
j3048_1,28,10.188,,28,0.938,28,1.344,
j3049_4,37,14.5,,51,0.304,44,7.578,
j3050_8,27,8.328,,31,0.749,29,1.391,
j3051_3,27,5.469,,27,0.653,27,0.781,
j3051_4,51,5.656,,51,0.285,51,0.422,
j3055_7,44,8.125,,44,0.379,44,0.828,
j3056_9,33,6.813,,36,0.527,33,0.953,
j3057_7,27,4.578,,36,0.303,33,2.719,
j3057_9,26,11.203,,33,0.366,29,2.141,
j3060_1,22,1.797,,22,0.288,22,0.438,
j3063_2,30,3.844,,30,0.428,30,0.922,
j3064_10,36,4.89,,36,0.334,36,0.813,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,
