"Table. A-9. Results. J100 Dataset: Benchmark 1, Strategy 1, Strategy 3. Time limit: 600 sec.",,,,,,,,,
Instance,Benchmark  1,,,Strategy 1,,,Strategy 3,,
,OFa,Timeb,Time_limg,OF,Time,Time_limg,OF,Time,Time_limg
J1002_3,28,600,Yes,38,25.064,,33,89.188,
J1004_5,25,37.594,,34,6.867,,28,23.281,
J1005_5,20,23.3125,,27,7.908,,23,21.391,
J1007_2,N/A,600,Yes,61,9.964,,58,600,Yes
J1008_4,51,600,Yes,69,5.878,,64,600,Yes
J1009_5,35,600,Yes,56,7.941,,49,600,Yes
J10010_4,34,600,Yes,45,34.573,,41,600,Yes
J10012_4,65,600,Yes,61,10.005,,55,600,Yes
J10013_5,31,55.828,,31,9.111,,31,7.25,
J10017_3,22,9.859,,22,6.334,,22,5.969,
J10020_1,24,60.797,,27,15.175,,24,12.078,
J10020_2,24,155.281,,31,29.495,,28,49.734,
J10022_1,25,600,Yes,36,32.767,,31,125.31,
J10028_3,22,23.703,,22,25.503,,22,22.531,
J10030_1,24,11.984,,24,8.028,,24,8.438,
J10032_3,25,45.813,,30,37.449,,26,49.906,
J10033_5,25,25.906,,25,4.196,,25,7.703,
J10035_3,20,26.547,,25,10.172,,21,16.484,
J10036_1,25,26.344,,29,8.681,,25,13.922,
J10036_4,28,11.703,,28,8.229,,28,9.484,
J10036_5,21,30.422,,23,11.652,,21,15.734,
J10037_3,N/A,600,Yes,55,5.528,,51,30.25,
J10038_1,45,600,Yes,57,112.007,,57,600,Yes
J10043_5,N/A,600,Yes,101,11.768,,110,600,Yes
J10045_3,N/A,600,Yes,71,28.848,,296,600,Yes
J10047_5,47,600,Yes,59,8.625,,55,600,Yes
J10049_3,49,247.016,,49,7.246,,49,9.578,
J10051_1,32,29.328,,37,9.975,,32,13.156,
J10052_5,30,111.078,,33,44.715,,32,67.875,
J10055_1,N/A,600,Yes,55,36.412,,54,600,Yes
J10056_3,38,600,Yes,45,103.981,,41,342.672,
J10056_5,N/A,600,Yes,47,24.338,,43,281.875,
J10060_4,34,34.203,,45,8.483,,36,259.484,
J10061_1,45,451.375,,45,11.537,,45,11.313,
J10062_1,35,569.641,,35,51.493,,35,52.344,
J10066_2,27,21.078,,27,8.905,,27,9.313,
J10068_2,39,60.359,,40,24.597,,40,37.008,
J10072_4,32,39.625,,36,7.681,,32,14.328,
J10076_4,N/A,600,Yes,77,32.458,,74,600,Yes
J10078_1,299,600,Yes,78,3.06,,64,600,Yes
J10085_3,N/A,600,Yes,78,12.508,,76,25.781,
J10088_1,56,36.484,,57,47.186,,56,51.828,
J10090_2,57,33.094,,60,4.456,,57,13.625,
J10095_3,61,43.719,,72,5.092,,65,47.219,
J10097_4,76,600,Yes,75,39.313,,75,52.875,
J10099_2,50,32.25,,50,14.065,,50,26.953,
J100101_2,58,26.281,,58,4.652,,58,9.469,
J100102_2,48,28.4219,,48,4.427,,48,5.281,
J100104_4,65,600,Yes,66,600,Yes,64,600,Yes
J100106_2,55,46.125,,57,37.747,,56,28.625,
a: Objective Function value; b: Computational time; g: Wheter the time limit was reached,,,,,,,,,
